Origin Country,Origin Country Latitude,Origin Country Longitude,Destination Region,Destination Country,Dest. Country Latitude,Dest. Country Longitude,Year,No. of Emigrants
Pakistan,30.375321,69.345116,Europe,Azerbaijan,40.143105,47.576927,2006,2
Pakistan,30.375321,69.345116,Europe,Azerbaijan,40.143105,47.576927,2007,3
Pakistan,30.375321,69.345116,Europe,Azerbaijan,40.143105,47.576927,2008,4
Pakistan,30.375321,69.345116,Europe,Azerbaijan,40.143105,47.576927,2009,4
Pakistan,30.375321,69.345116,Europe,Azerbaijan,40.143105,47.576927,2010,3
Pakistan,30.375321,69.345116,Europe,Azerbaijan,40.143105,47.576927,2011,0
Pakistan,30.375321,69.345116,Europe,Azerbaijan,40.143105,47.576927,2012,3
Pakistan,30.375321,69.345116,Europe,Azerbaijan,40.143105,47.576927,2013,98
Pakistan,30.375321,69.345116,Europe,Azerbaijan,40.143105,47.576927,2014,22
Pakistan,30.375321,69.345116,Europe,Azerbaijan,40.143105,47.576927,2015,8
Pakistan,30.375321,69.345116,Europe,Azerbaijan,40.143105,47.576927,2016,8
Pakistan,30.375321,69.345116,Europe,Azerbaijan,40.143105,47.576927,2017,8
Pakistan,30.375321,69.345116,Europe,Azerbaijan,40.143105,47.576927,2018,20
Pakistan,30.375321,69.345116,Europe,Azerbaijan,40.143105,47.576927,2019,45
Pakistan,30.375321,69.345116,Europe,Azerbaijan,40.143105,47.576927,2020,12
Pakistan,30.375321,69.345116,Europe,Azerbaijan,40.143105,47.576927,2021,4
Pakistan,30.375321,69.345116,Europe,Azerbaijan,40.143105,47.576927,2022,32
Pakistan,30.375321,69.345116,Europe,Azerbaijan,40.143105,47.576927,2023,6
Pakistan,30.375321,69.345116,Middle East,Bahrain,25.930414,50.637772,1981,2704
Pakistan,30.375321,69.345116,Middle East,Bahrain,25.930414,50.637772,1982,2430
Pakistan,30.375321,69.345116,Middle East,Bahrain,25.930414,50.637772,1983,2121
Pakistan,30.375321,69.345116,Middle East,Bahrain,25.930414,50.637772,1984,1653
Pakistan,30.375321,69.345116,Middle East,Bahrain,25.930414,50.637772,1985,1455
Pakistan,30.375321,69.345116,Middle East,Bahrain,25.930414,50.637772,1986,1025
Pakistan,30.375321,69.345116,Middle East,Bahrain,25.930414,50.637772,1987,1169
Pakistan,30.375321,69.345116,Middle East,Bahrain,25.930414,50.637772,1988,1441
Pakistan,30.375321,69.345116,Middle East,Bahrain,25.930414,50.637772,1989,1694
Pakistan,30.375321,69.345116,Middle East,Bahrain,25.930414,50.637772,1990,2010
Pakistan,30.375321,69.345116,Middle East,Bahrain,25.930414,50.637772,1991,2523
Pakistan,30.375321,69.345116,Middle East,Bahrain,25.930414,50.637772,1992,3383
Pakistan,30.375321,69.345116,Middle East,Bahrain,25.930414,50.637772,1993,2730
Pakistan,30.375321,69.345116,Middle East,Bahrain,25.930414,50.637772,1994,1960
Pakistan,30.375321,69.345116,Middle East,Bahrain,25.930414,50.637772,1995,2068
Pakistan,30.375321,69.345116,Middle East,Bahrain,25.930414,50.637772,1996,2114
Pakistan,30.375321,69.345116,Middle East,Bahrain,25.930414,50.637772,1997,2633
